,sust_amt,educ_amt,tran_amt,heal_amt,fina_amt,comm_amt,ente_amt,othe_amt,comm_area,park_area,indu_area,agri_area,resi_area,util_area,othe_area,trips
1,58,86,54,43,44,2,0,97,6.33E-05,0.000267378,4.20E-05,3.24E-06,0.000628963,0,0,37428
2,214,41,43,65,104,1,7,68,6.39E-05,2.40E-05,0.000100798,1.35E-05,0.000880067,4.00E-06,0,14213
3,1129,47,138,102,467,7,26,147,0.000363719,1.73E-05,6.78E-05,3.86E-06,0.00117101,0,0,13093
4,23,14,18,16,15,3,0,42,9.30E-06,1.26E-06,2.63E-05,0.000101109,5.60E-05,0,0,8437
5,184,14,36,42,78,3,4,44,5.04E-05,0,2.64E-05,1.26E-06,0.000114651,0,0,9969
6,591,155,123,136,268,20,5,258,0.00013005,1.40E-05,0.000234659,3.30E-06,0.000356426,4.69E-08,0,6779
7,229,48,92,74,66,11,6,111,7.46E-05,7.28E-06,0.000108608,9.57E-06,0.001066922,5.98E-07,0,10373
8,258,33,60,59,113,6,5,80,0.000168851,3.65E-05,0.000145728,4.44E-06,0.001459241,1.99E-06,0,13713
9,2,13,10,3,8,0,0,21,5.00E-06,0,1.13E-05,0.000193656,0.000123719,7.44E-08,0,6084
10,310,57,62,57,139,12,6,103,0.000218668,8.88E-05,0.000222263,1.55E-05,0.001402935,0,0,17149
11,288,15,82,24,108,1,5,77,0.000143443,0.000169301,3.90E-05,9.18E-07,0.000113529,0,0,13107
12,397,46,86,80,211,3,8,127,0.000183806,2.98E-05,0.00020881,2.17E-05,0.000589782,0,0,19694
13,15,11,3,4,16,2,0,14,4.27E-06,4.23E-07,8.84E-07,2.04E-07,3.36E-05,0,0,1542
14,1402,247,404,296,510,19,32,549,0.000491445,0.001180245,0.000128748,0.000398255,0.002675019,2.18E-05,0,69952
15,150,9,28,19,82,6,4,26,2.24E-05,2.19E-06,1.39E-06,5.80E-07,9.67E-05,0,0,2850
16,34,16,18,21,26,2,0,74,8.30E-05,9.38E-05,0.000279892,5.69E-06,0.000185401,0,0,15994
17,62,59,33,33,35,1,2,59,3.74E-05,3.06E-05,9.67E-05,0,0.000137578,0,0,15132
